timestamp,sETH,MKR,SAI,DAI,WETH,SNX,USDC,WBTC,BAT,sUSD,CBIX7,TKN,LINK,LRC,SPANK,XCHF,REP,ZRX,DGX,ANT,RLC,GNO,RCN,DZAR,FUN,RING,cDAI,RPL,NMR,KNC,TUSD,HOT,AMPL,NEXO,PAXG,PNK,CH-ZG1235d,ULT,SAN,SNT,Other
1545562634000,0.00,52.30,99.30,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,2.00,0.39,0.00,17.04,0.00,1.06,1.04,0.00,0.25,0.00,0.09,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,18.27,0.00,0.00,0.00,0.00,0.00,0.00,18.81
1545636119000,0.00,39.59,112.75,0.00,0.00,0.00,0.00,0.00,2.12,0.00,0.00,12.51,0.45,0.00,32.69,0.00,1.80,0.52,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,0.00,0.00,0.00,1.34,0.00,0.00,0.00,8.80,0.00,0.00,0.00,0.25,0.00,0.09,21.01
1545708423000,0.00,43.89,296.43,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,7.52,0.70,0.00,34.48,0.00,0.05,1.25,0.00,0.01,0.00,0.00,0.00,0.00,8.59,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.38,0.00,0.00,14.38
1545781311000,0.00,8.73,48.52,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.22,0.00,22.47,0.00,0.25,0.03,0.00,0.00,0.00,0.00,0.00,0.00,8.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.01,34.05
1545853370000,0.00,30.81,55.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.27,0.00,1.70,8.42,0.25,0.07,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,13.83
1545927395000,0.00,10.48,43.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,3.09,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,4.99,0.00,0.00,0.00,0.00,0.51,0.00,0.00,0.00,9.01,0.00,0.00,0.00,0.00,0.00,0.00,23.37
1546000562000,0.00,19.85,62.35,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,3.63,0.00,0.00,6.01,0.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,17.92
1546073485000,0.00,31.51,72.28,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,1.73,0.25,0.00,50.85,0.00,1.04,0.56,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,2.09,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.01,3.83
1546145827000,0.00,169.36,90.14,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,21.38,0.00,6.53,0.51,0.00,1.86,0.00,0.00,0.00,0.00,2.51,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.55,0.00,0.00,0.00,0.50,0.00,0.00,27.51
1546218595000,0.00,12.07,32.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.46,0.00,0.25,0.00,0.00,4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.09,2.94
1546292150000,0.00,29.61,26.51,0.00,0.02,0.00,0.00,0.00,0.09,0.00,0.00,0.75,0.00,0.00,22.62,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,2.56,0.00,0.00,0.00,0.00,70.13
1546365675000,0.00,14.63,62.46,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,23.55,0.00,0.50,0.25,0.00,0.92,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.61,0.00,1.35,0.00,0.00,0.00,0.00,15.39
1546438572000,0.00,29.22,55.73,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,2.75,0.00,0.00,19.27,0.00,0.01,0.92,0.00,0.66,0.00,0.00,0.00,0.00,3.74,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,8.01,0.00,14.15,0.00,6.28,0.00,0.00,10.37
